TARGET_B,zipconvert_2,zipconvert_3,zipconvert_4,zipconvert_5,homeowner dummy,NUMCHLD,INCOME,gender dummy,WEALTH,HV,Icmed,Icavg,IC15,NUMPROM,RAMNTALL,MAXRAMNT,LASTGIFT,totalmonths,TIMELAG,AVGGIFT
1,0,0,1,0,1,1,4,0,5,505,333,388,16,51,63,15,10,37,8,9
1,1,0,0,0,1,1,1,1,5,428,203,271,39,73,161,6,3,32,7,3.659090909
1,1,0,0,0,0,1,5,0,8,1318,399,458,8,25,40,10,10,32,2,8
0,0,0,0,1,0,1,2,0,8,1052,337,402,5,27,50,20,20,37,7,16.66666667
0,1,0,0,0,1,1,4,0,9,2246,542,640,1,76,262,34,32,33,3,14.55555556
1,0,0,0,1,1,1,5,1,8,860,321,392,9,38,53,20,5,18,0,8.833333333
1,0,0,1,0,1,1,6,1,9,3958,761,862,0,53,119,20,20,31,3,11.9
1,0,1,0,0,1,1,4,1,8,411,236,273,21,15,15,15,15,35,5,15
1,0,1,0,0,1,1,4,0,2,610,281,328,16,50,161,25,10,36,5,10.0625
0,1,0,0,0,1,1,1,1,8,826,415,514,5,37,32,15,15,37,6,8
1,1,0,0,0,1,1,4,1,4,780,321,354,14,48,175,20,15,37,9,13.46153846
1,0,0,0,1,0,1,4,1,4,3321,434,536,10,66,85,20,20,37,10,9.444444444
1,0,0,0,1,1,1,3,0,8,1868,324,380,12,28,31,10,10,32,3,5.166666667
0,0,0,1,0,0,1,4,1,8,457,302,329,19,85,79,10,10,30,12,3.590909091
0,0,0,0,1,1,1,5,0,8,1604,438,431,12,26,35,10,10,31,6,8.75
0,0,0,0,1,1,1,4,1,8,842,464,556,3,50,107,10,10,31,4,5.944444444
1,1,0,0,0,1,1,6,1,8,2085,755,797,3,50,85,5,5,32,6,4.722222222
0,1,0,0,0,1,1,4,0,8,0,0,0,0,27,40,10,10,31,6,10
0,0,1,0,0,1,1,1,0,8,299,247,315,25,22,47,20,13,30,4,11.75
1,0,0,0,1,1,1,1,1,0,998,273,354,19,72,90,10,5,31,12,6
0,0,0,1,0,0,1,4,0,5,620,388,405,16,52,107,15,11,35,6,9.727272727
1,0,0,0,1,0,1,5,0,8,4347,410,454,8,33,42,10,10,31,5,6
1,0,0,0,1,1,1,4,1,1,835,310,364,22,70,126,6,6,34,8,4.344827586
1,0,0,0,1,1,1,4,0,5,1772,418,492,3,99,288,21,15,17,5,13.71428571
0,0,0,0,1,1,1,4,1,5,971,347,375,12,50,84,10,7,30,6,6.461538462
1,0,0,1,0,1,1,2,0,3,596,279,353,21,68,94,7,5,29,2,4.7
1,1,0,0,0,1,1,7,0,8,1046,521,576,1,30,66,12,12,28,4,11
0,0,0,0,1,0,1,6,0,8,2483,627,668,2,49,98,50,50,30,4,16.33333333
0,1,0,0,0,0,1,3,0,8,660,308,329,10,53,48,14,7,33,0,6.857142857
0,1,0,0,0,1,1,2,1,8,982,549,533,10,66,165,14,14,31,7,10.3125
0,1,0,0,0,0,1,1,0,9,1516,597,668,4,61,128,40,40,29,14,21.33333333
1,0,0,1,0,1,1,5,1,8,1080,521,529,8,21,20,15,15,32,5,10
0,0,0,0,1,0,1,5,1,8,2124,526,554,2,28,49,20,10,31,2,8.166666667
0,0,0,0,1,0,1,2,1,8,1631,331,400,14,24,31,10,10,28,6,7.75
0,0,0,0,1,1,1,5,1,8,1473,332,370,14,32,70,15,15,28,2,10
1,0,0,1,0,1,1,4,1,3,806,347,354,15,76,119,15,10,31,10,10.81818182
0,0,1,0,0,1,1,4,1,8,306,181,204,38,21,45,35,35,29,7,22.5
1,0,1,0,0,0,1,2,0,5,698,335,348,14,59,276,15,13,33,10,11.5
0,0,0,0,1,1,1,4,1,8,910,245,370,28,72,182,15,10,33,4,9.1
0,0,0,0,1,1,1,6,1,8,2635,516,535,4,19,30,30,30,37,5,30
0,0,1,0,0,0,1,5,0,8,625,368,489,6,34,30,10,7,32,14,6
1,1,0,0,0,1,1,4,0,8,1115,349,465,17,21,30,20,20,33,15,15
1,1,0,0,0,1,1,2,1,7,645,377,362,12,82,120,10,10,17,6,4.285714286
1,0,0,0,1,1,1,3,0,8,869,304,410,10,26,35,10,10,32,6,8.75
0,0,1,0,0,1,1,4,0,8,512,289,271,25,34,114,15,13,32,3,11.4
1,0,0,0,1,0,1,5,0,8,2194,464,506,6,43,119,30,22,23,1,10.81818182
0,0,0,0,1,1,1,1,0,4,1723,366,427,3,67,370,20,13,36,2,12.33333333
1,0,0,1,0,1,1,3,0,9,840,522,561,9,80,204,9,7,30,3,6.181818182
1,0,0,0,1,0,1,7,0,8,2827,616,620,0,40,61,19,19,30,11,12.2
1,0,1,0,0,1,1,4,1,8,711,465,495,4,48,46,10,10,31,10,5.111111111
1,0,0,0,1,1,1,4,1,8,1969,531,563,11,16,20,20,20,36,5,20
0,0,0,0,1,0,1,1,1,0,2582,148,207,52,52,150,50,50,37,3,30
0,0,1,0,0,1,1,6,1,5,953,383,388,20,49,64,10,10,33,4,6.4
0,0,1,0,0,0,2,2,1,8,623,379,388,6,43,37,9,5,29,3,3.7
0,0,1,0,0,1,1,7,0,8,504,311,315,15,23,20,15,15,36,7,10
0,0,1,0,0,0,1,1,1,8,332,399,403,4,24,29,11,8,29,6,7.25
0,1,0,0,0,1,1,4,0,8,561,268,292,24,25,44,10,10,32,2,8.8
1,0,0,1,0,1,1,4,0,8,869,541,602,0,69,114,7,6,35,9,5.181818182
1,0,0,0,1,1,1,4,1,8,2505,502,580,3,29,50,20,15,20,3,12.5
0,0,0,0,1,1,1,5,1,7,535,363,386,0,53,115,35,35,33,13,23
1,0,0,0,1,0,1,1,1,8,1596,171,218,40,47,91,6,5,17,1,5.055555556
0,0,1,0,0,1,1,4,0,5,627,433,407,4,56,115,12,4,34,10,6.764705882
1,0,1,0,0,0,1,1,0,8,409,294,337,18,55,67,6,6,30,6,3.722222222
1,0,0,0,1,1,1,4,0,7,1749,624,685,6,59,128,7,5,28,3,5.12
1,0,1,0,0,1,1,4,0,4,679,432,448,3,77,140.5,10,10,37,8,5.403846154
1,0,0,0,1,1,1,7,0,8,1324,568,599,4,36,68,10,5,31,13,5.666666667
0,0,1,0,0,1,1,4,1,5,466,356,375,8,75,159,25,5,28,13,4.076923077
1,1,0,0,0,1,1,6,0,9,3538,759,817,4,135,555,15,10,18,6,6.098901099
1,0,0,0,1,0,1,3,0,8,1692,388,440,8,57,104,12,12,30,5,8.666666667
0,1,0,0,0,0,2,4,0,3,931,435,477,5,43,109,10,9,31,8,6.411764706
0,0,0,0,1,1,1,4,1,8,5177,845,892,6,24,26,16,16,36,5,13
1,0,0,0,1,1,1,4,0,8,2962,613,709,0,64,111,15,15,28,13,10.09090909
0,1,0,0,0,0,1,4,1,8,1172,480,534,7,31,73,15,15,30,6,10.42857143
0,1,0,0,0,1,1,4,1,3,489,290,314,20,68,123,15,5,28,7,6.473684211
1,0,1,0,0,0,1,3,0,7,1122,441,545,12,83,275,17,15,37,6,10.57692308
0,0,0,1,0,1,1,5,0,6,791,360,393,22,63,184,15,10,30,9,11.5
0,0,1,0,0,1,1,4,0,3,379,220,255,24,44,126,10,10,37,6,8.4
0,0,1,0,0,0,1,7,1,5,708,460,567,3,60,132,12,10,34,3,7.764705882
1,1,0,0,0,1,1,3,0,4,543,282,335,14,77,213,7,5,32,2,5.071428571
1,0,0,1,0,1,1,6,0,8,600,277,307,27,21,34,12,12,30,5,11.33333333
0,0,0,0,1,1,1,7,1,8,2015,783,787,7,21,26,16,16,37,5,13
0,0,1,0,0,1,1,4,1,2,345,257,271,30,45,80,10,5,29,11,8.888888889
0,0,1,0,0,1,1,4,1,5,598,363,420,10,46,122,25,15,30,1,15.25
0,0,0,0,1,1,1,4,0,1,865,262,328,21,53,120,20,16,37,4,9.230769231
0,0,0,0,1,0,1,3,0,8,661,291,334,19,15,20,20,20,37,5,20
0,0,0,0,1,1,1,4,1,7,1113,483,505,5,59,180,12,10,36,10,8.571428571
0,0,0,0,1,1,3,6,0,6,2932,612,656,1,38,73,17,15,35,4,14.6
0,0,0,0,1,1,1,4,0,8,1086,382,440,12,22,35,15,10,37,4,11.66666667
1,0,1,0,0,1,1,5,1,8,687,365,463,5,32,44,6,6,31,5,4.4
0,1,0,0,0,1,1,5,0,8,982,399,446,9,29,50,15,10,32,4,10
0,0,0,0,1,1,1,3,0,4,1157,405,422,10,35,52,13,12,31,5,8.666666667
1,0,0,0,1,1,1,6,0,8,1464,308,380,14,28,51,10,10,28,2,7.285714286
1,1,0,0,0,1,1,2,1,2,417,251,240,29,43,85,10,5,31,6,6.538461539
1,0,0,0,1,1,1,6,0,5,1760,388,485,3,68,142,20,20,37,7,11.83333333
0,0,0,0,1,1,1,4,0,8,3002,552,627,3,68,118,10,5,28,4,6.210526316
0,0,0,0,1,0,1,1,1,8,652,266,377,16,24,20,15,15,37,11,10
1,1,0,0,0,1,1,6,1,8,843,314,328,3,21,28,11,7,29,1,7
0,0,0,0,1,1,2,5,1,6,2016,566,632,0,64,180,20,15,35,2,9
0,0,1,0,0,1,1,4,1,9,933,555,597,2,42,70,15,10,33,10,14
0,0,0,1,0,1,1,7,1,8,1275,738,799,2,21,25,20,20,36,5,12.5
0,0,0,0,1,1,1,4,0,8,771,344,339,16,25,96,13,6,28,1,9.6
1,0,0,0,1,1,2,5,1,9,1014,609,671,4,51,282,25,25,30,6,21.69230769
0,0,0,1,0,1,1,4,0,8,1143,446,549,5,17,25,25,25,37,5,25
0,0,0,0,1,1,1,4,0,8,1479,436,463,11,23,27,15,7,34,7,9
0,0,1,0,0,1,1,5,0,9,1445,686,703,3,95,333,25,20,25,2,15.13636364
0,0,0,1,0,1,1,5,1,8,709,512,526,4,68,170,20,11,37,6,9.444444444
1,0,0,0,1,1,1,2,1,1,1351,426,429,12,71,151,25,5,19,8,6.04
1,0,0,0,1,1,1,4,1,6,769,426,406,9,51,138,16,14,37,9,9.2
1,1,0,0,0,1,1,5,1,7,888,363,383,18,78,183,10,10,28,9,7.038461539
1,0,0,0,1,1,1,4,1,8,852,372,454,13,26,32,10,10,32,2,6.4
0,0,0,0,1,1,1,3,1,8,1488,401,476,11,24,46,20,16,32,5,15.33333333
1,1,0,0,0,0,1,1,0,3,505,264,299,25,73,87,6,5,31,5,3.782608696
1,0,0,0,1,1,1,1,1,0,707,168,279,48,91,511,22,13,31,6,9.462962963
0,0,0,0,1,1,1,4,0,8,1325,290,379,21,49,87,12,10,31,6,9.666666667
1,0,1,0,0,1,1,4,0,8,572,411,406,5,23,49,17,17,29,6,16.33333333
0,0,1,0,0,0,1,5,0,9,962,421,456,14,43,77,20,20,36,7,12.83333333
1,1,0,0,0,1,1,2,0,6,759,371,408,6,58,112,17,11,31,12,7.466666667
1,0,1,0,0,1,1,4,1,8,314,250,279,18,54,54,6,6,28,12,3.857142857
0,1,0,0,0,1,1,2,0,2,317,228,238,29,38,65,12,12,29,1,8.125
1,0,0,1,0,1,1,7,0,8,394,260,297,23,27,29,10,6,31,4,5.8
1,0,0,1,0,1,1,4,0,8,1138,575,577,5,24,35,11,10,28,6,8.75
0,0,0,0,1,1,1,4,0,8,754,243,345,30,18,25,25,25,36,5,25
1,1,0,0,0,1,1,7,0,9,948,565,595,5,71,222,20,15,30,4,11.1
1,1,0,0,0,0,1,4,1,8,583,284,326,21,24,31,7,5,29,4,5.166666667
1,1,0,0,0,1,1,5,0,8,792,354,361,14,53,102,24,24,36,4,11.33333333
1,0,0,0,1,1,1,4,0,8,639,261,280,25,58,95,8,7,30,6,6.333333333
0,0,0,0,1,1,1,4,1,4,868,491,585,6,66,125,15,12,37,3,9.615384615
0,0,0,0,1,0,1,2,0,8,632,220,241,29,15,20,20,20,37,5,20
0,0,0,0,1,1,1,5,1,7,2557,520,516,9,77,346,35,25,31,12,19.22222222
1,1,0,0,0,1,1,3,1,8,2173,505,568,8,53,220,30,15,28,5,20
1,0,0,0,1,1,1,4,1,8,1212,216,261,17,21,70,50,50,32,5,35
1,0,0,1,0,0,1,4,0,8,508,239,292,28,29,29,6,5,29,4,4.833333333
1,0,0,1,0,1,1,1,1,1,353,255,286,25,53,105,15,15,35,5,8.076923077
1,0,0,0,1,1,1,5,1,5,2241,428,470,15,95,150,20,20,22,12,13.63636364
1,0,0,1,0,1,1,4,1,6,277,147,160,51,84,435,17,11,30,9,9.0625
0,0,0,0,1,1,1,7,1,8,5089,744,809,3,36,68,16,14,32,4,13.6
1,1,0,0,0,1,1,4,1,2,317,228,238,29,40,112,20,10,29,8,8
1,0,0,0,1,1,1,4,1,4,1701,377,440,8,38,108,15,10,29,3,6.352941177
0,0,0,1,0,1,1,5,1,8,1219,544,540,4,47,82,27,15,36,5,13.66666667
1,0,0,1,0,1,1,6,0,8,1195,619,639,3,19,30,7,7,31,2,6
0,0,0,0,1,1,1,4,1,8,2964,467,522,9,59,143,21,21,36,4,11
0,1,0,0,0,1,1,4,1,8,1270,247,325,26,59,54,5,3,30,16,3.176470588
1,1,0,0,0,1,2,7,1,4,583,284,326,21,50,94,15,15,30,12,7.833333333
1,0,0,0,1,1,1,6,1,8,2658,621,665,3,76,414,20,15,37,5,11.18918919
0,0,0,0,1,1,1,5,1,8,478,270,317,23,26,65,25,25,31,2,13
1,1,0,0,0,0,1,7,0,8,1628,695,774,2,15,20,20,20,37,5,20
0,0,1,0,0,1,1,4,1,8,569,401,419,5,19,20,15,15,37,5,10
0,0,0,1,0,0,1,1,1,8,370,332,293,37,68,76,6,3,29,19,3.619047619
1,1,0,0,0,1,1,4,1,9,4330,1500,1236,0,67,76,7,3,29,8,4.222222222
0,0,0,1,0,1,1,4,0,8,781,372,466,13,37,122,20,6,28,3,12.2
0,0,0,0,1,1,1,4,0,6,1011,250,314,18,49,90,15,15,36,3,11.25
1,0,0,0,1,1,1,4,1,8,2017,358,359,15,23,40,20,20,36,6,20
1,0,0,0,1,1,1,2,0,8,1024,601,635,2,27,36,11,10,29,5,9
0,0,0,1,0,1,1,2,1,4,501,321,366,16,84,352,20,20,30,2,8.8
0,0,0,1,0,1,1,5,1,8,796,318,382,13,16,15,15,15,36,5,15
1,0,0,1,0,1,1,4,1,8,367,207,232,24,16,15,15,15,37,5,15
0,0,0,1,0,1,1,1,1,8,404,313,302,28,24,28,5,3,29,2,3.5
0,0,1,0,0,0,1,3,0,2,278,161,201,49,32,40,20,20,36,14,13.33333333
1,0,0,0,1,1,1,2,1,8,913,488,495,3,65,76,10,5,28,11,5.846153846
1,0,0,0,1,1,1,5,1,8,1831,244,334,19,24,45,15,15,35,6,15
1,0,0,0,1,1,1,2,0,4,639,308,313,6,53,107,12,12,31,5,8.916666667
1,0,0,0,1,1,1,6,1,7,2160,508,519,2,70,119,20,15,32,2,10.81818182
1,0,0,0,1,1,1,4,0,3,1766,333,416,12,74,183,26,26,32,4,14.07692308
1,1,0,0,0,1,1,3,1,0,350,195,227,41,59,86,11,11,29,6,7.818181818
0,0,0,0,1,0,1,2,0,8,582,301,313,19,17,25,25,25,37,5,25
1,0,0,0,1,1,1,5,1,8,928,429,449,7,24,45,25,25,33,9,22.5
0,0,0,1,0,1,1,7,1,9,2013,879,938,0,70,206,20,20,31,14,13.73333333
1,0,0,0,1,1,1,7,0,8,2171,606,654,9,46,149,25,16,29,0,11.46153846
0,0,1,0,0,1,1,4,1,0,394,172,211,46,93,237,15,10,18,3,9.875
1,0,0,0,1,0,1,3,1,8,1194,360,400,12,32,30,10,8,32,5,5
1,1,0,0,0,1,1,2,1,2,657,236,251,22,68,101,10,10,31,8,7.214285714
0,0,0,0,1,1,1,4,1,2,1240,501,582,7,116,236,12,3,32,3,7.866666667
1,0,0,0,1,0,1,1,0,8,553,219,262,30,56,67,12,12,31,5,7.444444444
0,1,0,0,0,1,1,4,1,8,582,179,238,39,50,33,5,2,35,12,3.3
1,0,0,1,0,1,1,5,0,8,1015,385,416,6,32,55,10,10,30,4,7.857142857
0,1,0,0,0,1,1,3,0,1,413,279,304,24,38,48,6,4,29,3,4.8
0,0,1,0,0,0,1,6,1,8,971,481,538,6,25,52,16,16,32,2,13
0,0,0,0,1,1,1,4,1,8,426,245,272,32,24,59,22,22,30,1,11.8
1,0,0,0,1,1,1,4,1,7,3991,605,630,2,53,64,10,10,30,9,4.571428571
1,0,0,0,1,1,1,1,1,0,1243,148,223,50,66,85,5,3,26,12,3.035714286
0,0,1,0,0,1,1,4,0,8,773,512,519,3,29,33,7,7,31,1,5.5
0,0,0,1,0,1,1,5,1,8,681,365,389,7,72,195,11,10,29,9,7.222222222
1,0,0,0,1,1,1,5,1,8,1611,318,351,7,31,29,10,5,28,12,5.8
1,0,0,0,1,1,1,7,1,9,5843,1500,1133,9,129,333,25,16,29,12,12.80769231
0,0,0,1,0,0,3,4,1,8,343,281,324,17,21,25,20,20,36,6,12.5
1,0,0,1,0,1,1,3,1,8,277,194,228,33,31,45,25,5,19,5,15
0,0,0,0,1,1,1,6,0,7,2544,541,604,7,69,131,20,20,33,2,11.90909091
0,1,0,0,0,1,1,5,1,8,500,229,279,29,35,49,15,13,30,14,9.8
0,0,1,0,0,1,1,4,1,0,1194,408,525,16,68,110,20,20,36,23,13.75
1,1,0,0,0,1,1,5,0,8,728,429,457,4,29,75,15,10,31,2,10.71428571
1,0,0,0,1,1,1,4,0,6,1129,417,438,5,69,241,25,25,30,3,15.0625
1,1,0,0,0,1,1,4,1,8,732,291,335,19,25,22,10,10,33,6,5.5
0,0,0,0,1,1,1,4,1,8,2173,481,573,7,30,53,16,5,30,3,6.625
0,0,0,0,1,0,1,1,1,8,1458,504,581,2,24,35,11,5,31,1,7
0,0,0,0,1,1,1,4,1,8,928,371,458,10,77,275,30,25,35,7,9.482758621
1,1,0,0,0,1,1,5,0,8,2246,542,640,1,45,42,6,6,31,14,3.818181818
0,0,0,0,1,1,1,4,0,4,1028,487,539,2,62,87,15,15,36,5,8.7
0,0,0,1,0,1,1,4,1,1,342,190,230,39,83,384,12,10,30,1,7.111111111
1,0,0,1,0,1,1,6,1,8,1215,488,507,8,17,25,25,25,37,5,25
1,0,0,0,1,1,1,4,0,8,2215,472,520,7,50,54,6,6,30,7,4.5
1,1,0,0,0,1,1,3,0,8,729,211,254,25,81,205,8,4,28,6,5
0,1,0,0,0,1,1,5,1,8,573,278,319,22,20,32,12,12,31,3,10.66666667
0,1,0,0,0,1,1,4,0,5,578,309,316,24,83,288,25,25,35,9,19.2
1,0,0,0,1,1,1,4,1,8,2228,379,397,14,29,35,10,8,28,7,7
1,0,1,0,0,1,1,4,1,8,881,508,514,15,29,36,14,9,35,14,7.2
1,0,0,0,1,1,1,4,1,8,717,321,362,9,19,23,11,7,28,6,7.666666667
0,1,0,0,0,1,1,4,1,4,592,243,299,19,57,186,50,25,31,4,18.6
0,0,0,0,1,1,1,5,0,4,644,331,364,17,93,289,20,20,34,2,16.05555556
1,1,0,0,0,1,1,2,1,5,954,332,386,11,53,122,10,5,29,2,6.1
0,1,0,0,0,1,1,4,1,3,462,252,296,23,69,235,40,20,36,11,23.5
1,1,0,0,0,1,1,4,0,8,1707,469,523,5,83,214,17,17,34,3,10.7
0,0,1,0,0,1,1,1,0,1,414,218,258,18,46,143,20,20,34,6,14.3
0,0,0,1,0,1,1,2,0,8,292,260,307,10,40,48,6,6,34,3,4.363636364
1,0,0,0,1,1,1,6,1,9,5359,1109,1051,1,54,246,100,50,37,10,30.75
1,0,0,1,0,1,4,5,0,8,1050,538,618,2,21,30,20,20,34,2,15
0,0,0,1,0,1,1,1,1,9,1333,740,767,0,62,218,20,17,29,8,12.82352941
0,1,0,0,0,1,1,4,1,8,1169,443,505,10,54,98,10,10,28,2,7
0,0,1,0,0,1,1,3,1,9,2923,1167,1096,1,71,159,13,5,28,3,6.625
1,0,0,1,0,1,1,6,0,9,4967,1500,1217,2,47,89,27,27,37,26,22.25
1,0,1,0,0,1,2,5,0,8,605,466,473,6,44,101,6,6,31,3,4.590909091
1,1,0,0,0,0,1,1,0,8,606,224,238,32,21,30,10,10,31,5,10
0,0,0,1,0,0,1,2,0,8,0,0,0,0,24,40,20,20,31,5,13.33333333
0,0,0,0,1,1,1,7,1,8,1295,531,614,2,26,51,20,20,31,1,10.2
0,0,0,0,1,1,1,3,0,8,994,207,270,28,23,32,11,10,28,2,8
0,0,1,0,0,1,1,2,0,8,729,403,440,11,80,296,21,20,37,7,12.86956522
1,0,0,0,1,0,1,2,0,4,651,330,361,11,70,92,5,5,28,8,4.842105263
0,1,0,0,0,1,1,5,0,5,570,309,345,16,50,94,15,15,29,1,9.4
0,0,0,0,1,0,1,5,0,7,2756,488,521,12,49,157,25,21,31,11,17.44444444
0,0,1,0,0,0,1,2,1,8,563,331,374,13,37,68,10,10,28,14,8.5
0,0,0,1,0,1,1,1,0,5,512,363,385,10,78,164,15,10,30,0,9.647058824
0,1,0,0,0,0,1,2,1,6,704,196,294,37,103,431,32,25,17,7,19.59090909
0,0,0,0,1,1,1,4,0,8,1239,348,452,6,18,25,25,25,37,5,25
1,1,0,0,0,1,1,4,1,8,245,91,130,64,34,50,10,10,35,4,6.25
0,0,0,1,0,0,1,2,0,7,3002,824,884,2,30,31,16,16,37,11,10.33333333
0,0,0,0,1,0,1,1,1,8,3131,595,649,6,72,137,6,3,30,6,2.914893617
0,0,1,0,0,1,1,4,1,8,414,211,257,34,33,47,6,4,37,6,4.272727273
0,0,0,0,1,1,2,3,1,8,566,344,368,9,34,51,20,8,37,8,10.2
1,0,0,1,0,1,1,5,1,4,420,141,253,54,75,172,20,20,32,12,10.75
1,0,0,0,1,1,1,4,1,8,1955,466,543,5,37,48,10,10,32,10,8
1,0,0,0,1,0,1,1,1,1,867,259,321,37,38,49,10,10,28,8,7
0,0,1,0,0,0,1,1,0,8,661,280,366,24,42,50,7,5,32,16,5
0,0,0,1,0,1,1,4,1,8,416,288,326,17,26,83,27,25,31,4,20.75
0,0,0,0,1,1,1,4,0,8,2232,517,532,6,11,15,15,15,34,5,15
1,0,0,1,0,1,1,6,1,8,2431,646,725,3,24,52,12,8,30,5,7.428571429
0,1,0,0,0,0,1,4,1,8,1159,494,542,8,24,32,7,5,29,2,5.333333333
0,0,1,0,0,1,1,5,1,6,678,366,451,12,70,97,10,3,37,7,4.619047619
1,0,0,1,0,0,1,1,1,2,247,241,251,31,67,90.5,5,5,30,3,2.445945946
0,0,1,0,0,1,1,4,1,8,1113,590,643,1,23,21,16,16,37,8,10.5
